"simulationTime[s]","districtName","districtSafetyLevel","patrolID","previousPatrolState","currentPatrolState","isNight"
3811,Krzy¿,RatherSafe,04c26d02-2271-4bbf-b1f3-09dfdbffceee,CALCULATING_PATH,PATROLLING,0
3812,Krzy¿,RatherSafe,336a13e7-c542-4f74-905b-23184c27cf18,CALCULATING_PATH,PATROLLING,0
3822,Moœcice,RatherSafe,556f11eb-1dc2-4359-88aa-a27d8180163a,INTERVENTION,PATROLLING,0
3823,Krzy¿,RatherSafe,9bfb8e93-a3a5-4d0d-bd2f-7d40b6d7be35,PATROLLING,CALCULATING_PATH,0
3833,Moœcice,RatherSafe,556f11eb-1dc2-4359-88aa-a27d8180163a,CALCULATING_PATH,PATROLLING,0
3833,Krzy¿,RatherSafe,9bfb8e93-a3a5-4d0d-bd2f-7d40b6d7be35,CALCULATING_PATH,PATROLLING,0
3844,Klikowa,RatherSafe,93632a4c-ebf4-493a-9e83-705ef01a6e1a,INTERVENTION,PATROLLING,0
3855,Klikowa,RatherSafe,93632a4c-ebf4-493a-9e83-705ef01a6e1a,CALCULATING_PATH,PATROLLING,0
3855,Krzy¿,RatherSafe,3396c6e1-fe81-40e6-95b2-31f5727516e7,PATROLLING,CALCULATING_PATH,0
3866,Krzy¿,RatherSafe,3396c6e1-fe81-40e6-95b2-31f5727516e7,CALCULATING_PATH,PATROLLING,0
3877,Krzy¿,RatherSafe,336a13e7-c542-4f74-905b-23184c27cf18,PATROLLING,CALCULATING_PATH,0
3888,Krzy¿,RatherSafe,336a13e7-c542-4f74-905b-23184c27cf18,CALCULATING_PATH,PATROLLING,0
3899,Gumniska-Zab³ocie,Safe,edacdccb-647e-4f3c-960e-e31fa6dae7ed,PATROLLING,CALCULATING_PATH,0
3909,Klikowa,RatherSafe,93632a4c-ebf4-493a-9e83-705ef01a6e1a,PATROLLING,CALCULATING_PATH,0
3910,Gumniska-Zab³ocie,Safe,edacdccb-647e-4f3c-960e-e31fa6dae7ed,CALCULATING_PATH,PATROLLING,0
3921,Klikowa,RatherSafe,93632a4c-ebf4-493a-9e83-705ef01a6e1a,CALCULATING_PATH,PATROLLING,0
3943,Klikowa,RatherSafe,db19be56-3170-42eb-9b93-ad0d4886c26c,PATROLLING,CALCULATING_PATH,0
3954,Legionów Henryka D¹browskiego,RatherSafe,765d7ef0-48e0-4ac7-bcd7-f9ccca24ffa6,INTERVENTION,PATROLLING,0
3954,Klikowa,RatherSafe,db19be56-3170-42eb-9b93-ad0d4886c26c,CALCULATING_PATH,PATROLLING,0
3965,Legionów Henryka D¹browskiego,RatherSafe,765d7ef0-48e0-4ac7-bcd7-f9ccca24ffa6,CALCULATING_PATH,PATROLLING,0
