"simulationTime[s]","amountOfUsedSwat"
3600,4.0
7200,10.0
10802,6.0
14400,10.0
18001,6.0
21600,8.0
25202,8.0
28802,6.0
32400,2.0
36002,4.0
39600,18.0
43201,4.0
46800,4.0
50400,6.0
54000,6.0
57601,10.0
61200,12.0
64801,10.0
68400,16.0
72001,14.0
75600,10.0
79200,8.0
82800,4.0
