"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3600,2495.759646892004,112.30918411014018
7200,1219.2752662150517,54.86738697967733
10801,2179.2463528826506,98.0660858797193
14400,2051.3866760764267,92.31240042343921
18001,0.0,0.0
21600,1523.9514334046162,68.57781450320773
25200,1856.3298093399499,83.53484142029775
28800,4345.713607964629,195.55711235840832
32401,3444.8032687123778,155.016147092057
36000,3212.0550377901764,144.54247670055796
39600,684.5335656501089,30.804010454254904
43200,1814.589249878285,81.65651624452283
46800,0.0,0.0
50400,2757.825710545208,124.10215697453435
54000,3762.154512125802,169.29695304566107
57600,598.7988020276712,26.9459460912452
61200,1320.7940358752724,59.435731614387265
64800,2019.3614932793678,90.87126719757156
68400,2309.818011457105,103.9418105155697
72001,1902.9874180304244,85.6344338113691
75600,2163.1236870020225,97.340565915091
79200,2831.472511878854,127.41626303454846
82800,1714.4251651250108,77.1491324306255
