"TRANSFER_TO_FIRING","INTERVENTION","RETURNING_TO_HQ","WAITING_FOR_ORDERS"
"4,4,0,0"
"9,9,2,2"
"4,4,7,7"
"6,6,8,8"
"0,1,6,6"
"1,1,1,1"
"2,2,1,1"
"0,0,2,2"
"0,0,0,0"
"1,1,0,0"
"3,4,1,1"
"3,3,4,4"
"0,0,3,3"
"0,0,0,0"
"1,1,0,0"
"2,2,3,3"
"0,0,0,0"
"2,2,0,0"
"4,4,1,1"
"3,3,7,7"
"1,1,1,1"
"0,0,1,1"
"0,0,0,0"
