"simulationTime[s]","districtName","districtSafetyLevel","patrolID","previousPatrolState","currentPatrolState","isNight"
939,Piaskówka,RatherSafe,fa1a07ac-8ccc-435d-9baa-99dcd5bb6867,PATROLLING,CALCULATING_PATH,0
939,Jasna,RatherSafe,5920686d-8cc5-4da4-9672-060491949f0d,CALCULATING_PATH,PATROLLING,0
950,Krzy¿,NotSafe,290fdaf5-4979-4299-bce9-775dd8896ff2,PATROLLING,CALCULATING_PATH,0
974,Westerplatte,RatherSafe,16d1d618-260d-4dea-bef2-4788fae28f41,PATROLLING,CALCULATING_PATH,0
974,Krakowska,RatherSafe,41488dc4-32dd-442b-92a6-ccc4613c85dc,CALCULATING_PATH,PATROLLING,0
974,Gumniska-Zab³ocie,RatherSafe,354535a8-fe1d-40d3-8730-a8ed1404386c,CALCULATING_PATH,PATROLLING,0
974,Piaskówka,RatherSafe,fa1a07ac-8ccc-435d-9baa-99dcd5bb6867,CALCULATING_PATH,PATROLLING,0
974,Chyszów,RatherSafe,60bf129c-450c-4da3-9bbe-69ce3e95bea0,CALCULATING_PATH,PATROLLING,0
975,Gumniska-Zab³ocie,RatherSafe,ccd3cead-9852-460a-827e-5340fcbbe587,PATROLLING,CALCULATING_PATH,0
999,Piaskówka,RatherSafe,e9b36c99-697c-40c7-b401-7ae19db9e11c,PATROLLING,TRANSFER_TO_INTERVENTION,0
1000,Piaskówka,RatherSafe,e9b36c99-697c-40c7-b401-7ae19db9e11c,TRANSFER_TO_INTERVENTION,CALCULATING_PATH,0
1000,Krzy¿,NotSafe,290fdaf5-4979-4299-bce9-775dd8896ff2,CALCULATING_PATH,PATROLLING,0
1000,Westerplatte,RatherSafe,16d1d618-260d-4dea-bef2-4788fae28f41,CALCULATING_PATH,PATROLLING,0
1000,Gumniska-Zab³ocie,RatherSafe,31c65021-34aa-46c9-baf5-d7038b17c110,PATROLLING,CALCULATING_PATH,0
1001,Gumniska-Zab³ocie,RatherSafe,5179091e-caa1-4468-99bb-f1e06f2d3b06,PATROLLING,CALCULATING_PATH,0
1001,Jasna,RatherSafe,ed2e5a33-e543-46a5-aa50-14c2ad3ffaa1,PATROLLING,CALCULATING_PATH,0
1002,Gumniska-Zab³ocie,RatherSafe,ccd3cead-9852-460a-827e-5340fcbbe587,CALCULATING_PATH,PATROLLING,0
1015,Piaskówka,RatherSafe,e9b36c99-697c-40c7-b401-7ae19db9e11c,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0
1015,Rzêdzin,Safe,f4220692-1c5a-4ca8-9531-8f44400157e9,PATROLLING,CALCULATING_PATH,0
1015,Jasna,RatherSafe,ed2e5a33-e543-46a5-aa50-14c2ad3ffaa1,CALCULATING_PATH,PATROLLING,0
1016,Gumniska-Zab³ocie,RatherSafe,9f6927b1-a150-46a9-b92c-9e683a4b6c44,PATROLLING,CALCULATING_PATH,0
1016,Starówka,RatherSafe,dac8de60-67e3-4e05-93e5-8a2c4be3939f,PATROLLING,CALCULATING_PATH,0
1039,Rzêdzin,Safe,f4220692-1c5a-4ca8-9531-8f44400157e9,CALCULATING_PATH,PATROLLING,0
1039,Krzy¿,NotSafe,6ee5c357-9588-4493-89a4-337068bbaee8,PATROLLING,CALCULATING_PATH,0
1040,Starówka,RatherSafe,dac8de60-67e3-4e05-93e5-8a2c4be3939f,CALCULATING_PATH,PATROLLING,0
1052,Gumniska-Zab³ocie,RatherSafe,31c65021-34aa-46c9-baf5-d7038b17c110,CALCULATING_PATH,PATROLLING,0
1052,Grabówka,RatherSafe,e0e983f8-092c-4258-bc77-d5532af30d9c,PATROLLING,CALCULATING_PATH,0
1052,Gumniska-Zab³ocie,RatherSafe,5179091e-caa1-4468-99bb-f1e06f2d3b06,CALCULATING_PATH,PATROLLING,0
1052,Gumniska-Zab³ocie,RatherSafe,9f6927b1-a150-46a9-b92c-9e683a4b6c44,CALCULATING_PATH,PATROLLING,0
1063,Krzy¿,NotSafe,6ee5c357-9588-4493-89a4-337068bbaee8,CALCULATING_PATH,PATROLLING,0
1074,Legionów Henryka D¹browskiego,RatherSafe,e9b36c99-697c-40c7-b401-7ae19db9e11c,TRANSFER_TO_INTERVENTION,INTERVENTION,0
1075,Grabówka,RatherSafe,e0e983f8-092c-4258-bc77-d5532af30d9c,CALCULATING_PATH,PATROLLING,0
1086,Krakowska,RatherSafe,76cc6964-facf-41a3-8a8c-6333218ebde6,PATROLLING,TRANSFER_TO_INTERVENTION,0
