"simulationTime[s]","summonedPatrols"
3600,33
7200,37
10801,28
14400,40
18000,27
21600,26
25200,38
28800,34
32400,43
36000,32
39600,35
43200,50
46800,23
50400,38
54000,51
57600,30
61200,42
64800,67
68401,47
72000,51
75601,38
79200,42
82800,47
