"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3600,904.0,28.5
7200,1121.3333333333333,32.333333333333336
10800,793.1666666666666,20.833333333333332
14400,1008.75,32.25
18000,5231.0,173.0
21600,0.0,0.0
25200,1238.3333333333333,36.0
28800,1473.6666666666667,41.0
32400,1346.0,37.5
36000,636.0,20.0
39600,0.0,0.0
43200,67.25,2.0
46800,538.0,16.0
50400,270.625,8.5
54001,644.125,18.875
57600,1049.25,29.5
61200,201.5,5.833333333333333
64800,14.1875,0.3125
68400,479.625,11.625
72000,300.8333333333333,7.333333333333333
75600,79.16666666666667,2.0
79200,383.1666666666667,10.833333333333334
82800,304.0,8.833333333333334
