"simulationTime[s]","firingID","districtName","districtSafetyLevel","previousPatrolState","numberOfIteration","distanceOfSummonedPatrol","isNight"
1756,4eff1907-6d10-4726-85b3-ce3e30de4861,Krzy¿,NotSafe,PATROLLING,1,"1016,7048119503805",0
1758,4eff1907-6d10-4726-85b3-ce3e30de4861,Krzy¿,NotSafe,PATROLLING,1,"621,4948154707998",0
1800,4eff1907-6d10-4726-85b3-ce3e30de4861,Krzy¿,NotSafe,TRANSFER_TO_INTERVENTION,4,"1536,6247695343127",0
1852,4eff1907-6d10-4726-85b3-ce3e30de4861,Krzy¿,NotSafe,PATROLLING,2,"1647,900778572955",0
3994,96227c0a-d7c0-4d65-9965-f976e6cad625,Krzy¿,NotSafe,PATROLLING,1,"686,721289454124",0
3994,96227c0a-d7c0-4d65-9965-f976e6cad625,Krzy¿,NotSafe,PATROLLING,1,"1031,1871999538296",0
4752,2698993f-b74a-4715-925e-6911d15c5e75,Jasna,RatherSafe,PATROLLING,1,"939,6630458647888",0
4753,2698993f-b74a-4715-925e-6911d15c5e75,Jasna,RatherSafe,PATROLLING,1,"1139,4531953737303",0
4753,2698993f-b74a-4715-925e-6911d15c5e75,Jasna,RatherSafe,PATROLLING,1,"792,3147476085584",0
4754,2698993f-b74a-4715-925e-6911d15c5e75,Jasna,RatherSafe,PATROLLING,1,"895,0436195200525",0
5378,bb0e8683-4cfd-42b0-a8eb-78c2a200ffb7,Grabówka,RatherSafe,PATROLLING,1,"659,2355859076351",0
5379,bb0e8683-4cfd-42b0-a8eb-78c2a200ffb7,Grabówka,RatherSafe,PATROLLING,1,"691,8016013869441",0
5379,bb0e8683-4cfd-42b0-a8eb-78c2a200ffb7,Grabówka,RatherSafe,PATROLLING,1,"684,1644210952131",0
5380,bb0e8683-4cfd-42b0-a8eb-78c2a200ffb7,Grabówka,RatherSafe,PATROLLING,1,"535,4923135818775",0
5381,bb0e8683-4cfd-42b0-a8eb-78c2a200ffb7,Grabówka,RatherSafe,PATROLLING,1,"834,6838850455298",0
9436,5ca44c7c-ecf3-4199-a1f8-443e81dc622d,Strusina,RatherSafe,PATROLLING,1,"530,3055203257233",0
9437,5ca44c7c-ecf3-4199-a1f8-443e81dc622d,Strusina,RatherSafe,PATROLLING,1,"1171,8680357854807",0
9437,5ca44c7c-ecf3-4199-a1f8-443e81dc622d,Strusina,RatherSafe,PATROLLING,1,"229,14886140386258",0
9438,5ca44c7c-ecf3-4199-a1f8-443e81dc622d,Strusina,RatherSafe,PATROLLING,1,"1033,23314660147",0
9438,5ca44c7c-ecf3-4199-a1f8-443e81dc622d,Strusina,RatherSafe,PATROLLING,1,"40,41767845953457",0
9439,5ca44c7c-ecf3-4199-a1f8-443e81dc622d,Strusina,RatherSafe,PATROLLING,1,"191,06213268320593",0
9865,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,PATROLLING,1,"261,2958551316004",0
9865,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,PATROLLING,2,"1716,8251460343815",0
9866,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,PATROLLING,2,"1816,0855533320116",0
9866,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,PATROLLING,2,"1343,6006553186492",0
9867,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,PATROLLING,2,"2343,9005329203355",0
9867,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,PATROLLING,2,"1224,663150232556",0
11774,92750666-c862-4387-a141-b3d42c06e3c9,Koszyce,RatherSafe,PATROLLING,2,"1200,2231990920022",0
11774,92750666-c862-4387-a141-b3d42c06e3c9,Koszyce,RatherSafe,PATROLLING,2,"1260,281851620324",0
11775,92750666-c862-4387-a141-b3d42c06e3c9,Koszyce,RatherSafe,PATROLLING,2,"1447,1513464574693",0
11775,92750666-c862-4387-a141-b3d42c06e3c9,Koszyce,RatherSafe,PATROLLING,2,"1470,398258452416",0
12783,fbae4943-8e4b-4d40-b230-f3663bba4f55,Starówka,RatherSafe,PATROLLING,1,"548,2852198415335",0
12783,fbae4943-8e4b-4d40-b230-f3663bba4f55,Starówka,RatherSafe,PATROLLING,1,"255,30444074044624",0
12784,fbae4943-8e4b-4d40-b230-f3663bba4f55,Starówka,RatherSafe,PATROLLING,1,"529,0659499941816",0
12784,fbae4943-8e4b-4d40-b230-f3663bba4f55,Starówka,RatherSafe,PATROLLING,1,"473,3680862730199",0
12888,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,PATROLLING,1,"861,52688493998",0
12889,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,PATROLLING,2,"1732,4999572749227",0
12889,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,PATROLLING,2,"1456,303369602574",0
12890,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,PATROLLING,2,"2129,0868293739286",0
12890,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,PATROLLING,2,"2006,6947332019556",0
12891,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,PATROLLING,2,"1485,954406480463",0
12891,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,PATROLLING,2,"1293,9005114332435",0
13012,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,PATROLLING,2,"2020,2061185849186",0
13024,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,PATROLLING,3,"3231,213008407298",0
13025,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,PATROLLING,3,"3199,4654081752838",0
13025,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,PATROLLING,3,"2522,8895352303975",0
13026,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,PATROLLING,3,"3546,4048641909935",0
13026,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,PATROLLING,3,"3446,117802763702",0
13027,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,PATROLLING,3,"3408,397049282723",0
