"simulationTime[s]","amountOfUsedSwat"
3600,2.0
7213,8.0
10801,6.0
14400,2.0
18000,4.0
21600,6.0
25200,4.0
28800,6.0
32408,6.0
36001,4.0
39600,8.0
43200,0.0
46800,0.0
50400,6.0
54001,6.0
57603,4.0
61200,14.0
64801,8.0
68402,6.0
72001,4.0
75600,6.0
79201,10.0
82800,8.0
