"TRANSFER_TO_FIRING","INTERVENTION","RETURNING_TO_HQ","WAITING_FOR_ORDERS"
"1,1,0,0"
"8,8,0,0"
"3,3,8,8"
"0,0,4,4"
"4,4,1,1"
"0,0,2,2"
"1,1,1,1"
"4,4,1,1"
"2,2,6,6"
"0,0,0,0"
"0,0,0,0"
"0,0,0,0"
"0,0,0,0"
"0,0,0,0"
"1,0,0,0"
"0,1,0,0"
"1,0,1,1"
"0,1,1,1"
"2,2,0,0"
"0,0,2,2"
"1,1,0,0"
"0,0,1,1"
"0,0,0,0"
