"Safe","RatherSafe","NotSafe"
"0,4,0"
"0,0,14"
"0,0,9"
"0,0,3"
"0,9,0"
"0,0,15"
"0,4,3"
"0,4,8"
"3,0,9"
"0,0,6"
"0,0,14"
"0,0,0"
"0,0,0"
"0,3,5"
"0,13,0"
"0,5,2"
"0,1,22"
"0,5,9"
"3,0,10"
"0,0,11"
"0,4,9"
"0,0,19"
"0,3,10"
