"simulationTime[s]","amountOfSolvingAmbulances"
3600,0
7213,4
10801,2
14401,2
18000,3
21600,3
25201,2
28801,2
32407,5
36000,1
39600,3
43200,2
46801,0
50400,3
54002,2
57600,2
61202,5
64800,3
68402,7
72001,1
75600,4
79200,3
82802,5
