"simulationTime[s]","districtName","districtSafetyLevel","patrolID","previousPatrolState","currentPatrolState","isNight"
20510,Friedrichshain-Kreuzberg,RatherSafe,438b7ecb-8880-4e3a-bc99-c3294e1ab20a,CALCULATING_PATH,TRANSFER_TO_FIRING,0
20510,Friedrichshain-Kreuzberg,RatherSafe,7aac305c-d99c-4af8-9025-690711cd5bcb,CALCULATING_PATH,TRANSFER_TO_FIRING,0
20536,Tempelhof-Schöneberg,NotSafe,65c54797-26e6-4148-916c-dae3d72a3b6c,TRANSFER_TO_FIRING,FIRING,0
20537,Tempelhof-Schöneberg,NotSafe,86ee1d33-788b-43e7-912b-b0e2d03770f4,TRANSFER_TO_FIRING,FIRING,0
20589,Tempelhof-Schöneberg,NotSafe,438b7ecb-8880-4e3a-bc99-c3294e1ab20a,TRANSFER_TO_FIRING,FIRING,0
20589,Tempelhof-Schöneberg,NotSafe,7aac305c-d99c-4af8-9025-690711cd5bcb,TRANSFER_TO_FIRING,FIRING,0
20615,Steglitz-Zehlendorf,RatherSafe,0110602a-aed8-497b-9f80-38148acf1d91,CALCULATING_PATH,PATROLLING,0
20665,Friedrichshain-Kreuzberg,RatherSafe,cbf24349-bc54-484c-b729-36d9d6725c7c,INTERVENTION,PATROLLING,0
20695,Treptow-Köpenick,RatherSafe,12accf81-447c-451c-8c03-32647877fab0,TRANSFER_TO_INTERVENTION,INTERVENTION,0
20720,Neukölln,NotSafe,8f67f6bf-e423-46f5-b5b6-aa6b181b50aa,INTERVENTION,PATROLLING,0
20775,Friedrichshain-Kreuzberg,RatherSafe,cbf24349-bc54-484c-b729-36d9d6725c7c,CALCULATING_PATH,PATROLLING,0
20803,Reinickendorf,RatherSafe,c76e7a37-16bd-4c73-965b-7042d052396d,PATROLLING,CALCULATING_PATH,0
20803,Tempelhof-Schöneberg,NotSafe,0de5d9b0-fef9-4f12-b8ed-4b4c8166aaed,INTERVENTION,PATROLLING,0
20835,Tempelhof-Schöneberg,NotSafe,640d6088-89f1-4984-8111-bad4db87dd2a,TRANSFER_TO_INTERVENTION,INTERVENTION,0
20839,Treptow-Köpenick,RatherSafe,a938cf23-ae1f-4742-8f5f-e90068c63597,PATROLLING,CALCULATING_PATH,0
20865,Reinickendorf,RatherSafe,2fc54077-ac64-4f7c-8f74-fd39453ab7fe,INTERVENTION,PATROLLING,0
20870,Neukölln,NotSafe,8f67f6bf-e423-46f5-b5b6-aa6b181b50aa,CALCULATING_PATH,PATROLLING,0
20897,Reinickendorf,RatherSafe,c76e7a37-16bd-4c73-965b-7042d052396d,CALCULATING_PATH,PATROLLING,0
20921,Treptow-Köpenick,RatherSafe,a938cf23-ae1f-4742-8f5f-e90068c63597,CALCULATING_PATH,PATROLLING,0
20947,Tempelhof-Schöneberg,NotSafe,0de5d9b0-fef9-4f12-b8ed-4b4c8166aaed,CALCULATING_PATH,PATROLLING,0
20999,Reinickendorf,RatherSafe,2fc54077-ac64-4f7c-8f74-fd39453ab7fe,CALCULATING_PATH,PATROLLING,0
21023,Charlottenburg-Wilmersdorf,NotSafe,760de6da-4861-4271-8e06-ced8d76f14a0,INTERVENTION,PATROLLING,0
