"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3600,3988.6334091250974,179.4885034106294
7200,2153.021189196831,96.88595351385739
10800,3163.013206790844,142.33559430558796
14400,2113.7134742409594,95.11710634084318
18000,1837.1566474461372,82.67204913507618
21600,3308.639340734253,148.88877033304138
25200,3243.051230047681,145.93730535214564
28800,2069.738558633563,93.13823513851034
32400,2635.3835819069473,118.59226118581262
36000,1810.4813698518792,81.47166164333457
39600,3321.3622132931678,149.46129959819254
43200,1993.7122532954386,89.71705139829474
46800,2010.4474041140377,90.4701331851317
