"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
81380,38fb2349-628f-4568-abf0-2d1b4c243295,Neukölln,NotSafe,"3510,7322633016092"
81382,8bce1c30-08c3-4176-a0dd-8721f5b213f6,Neukölln,NotSafe,"1894,3003150923657"
81383,8bce1c30-08c3-4176-a0dd-8721f5b213f6,Neukölln,NotSafe,"1939,1624921448577"
81385,8bce1c30-08c3-4176-a0dd-8721f5b213f6,Neukölln,NotSafe,"2134,1506129584814"
81443,f48da3d8-4989-478e-83e0-ecf1eaca83aa,Neukölln,NotSafe,"2179,268374066014"
81498,eb860aa7-cada-44ba-b6d4-976cdcbfe9c4,Treptow-Köpenick,RatherSafe,"1628,420080537175"
81581,f48da3d8-4989-478e-83e0-ecf1eaca83aa,Neukölln,NotSafe,"3576,166645090027"
81719,7d86a8a8-6abc-434e-ba4a-b2cce8c27032,Neukölln,NotSafe,"7232,105300137436"
81876,459adc43-bdd6-4223-973e-d3fcdc7af668,Charlottenburg-Wilmersdorf,NotSafe,"5826,987636598601"
81903,e7a598f5-b008-4cb5-ae40-b8401f2a1a22,Friedrichshain-Kreuzberg,RatherSafe,"931,1103972087224"
81975,f48da3d8-4989-478e-83e0-ecf1eaca83aa,Neukölln,NotSafe,"3576,9920911794657"
82419,88c0977e-83ba-4cb0-8ec1-5f538d08db77,Treptow-Köpenick,RatherSafe,"3986,159355666589"
82471,d95e7031-b3d0-4e66-a4d3-d439562d5173,Marzahn-Hellersdorf,Safe,"2297,1492181546064"
82605,5a1e323e-6238-4f46-accf-8bfc74b76a58,Neukölln,NotSafe,"3536,6959257097938"
82681,4c2edb41-adfb-498f-bbbc-af8757b0c045,Lichtenberg,Safe,"1019,1502042476766"
82888,38fb2349-628f-4568-abf0-2d1b4c243295,Neukölln,NotSafe,"3525,046930518301"
83607,ce9514d1-bebf-4ef3-a3b8-30c68273558a,Neukölln,NotSafe,"1633,1481976553048"
83849,e71dcbdc-1efd-4c64-b9ab-2f2d540cda0f,Treptow-Köpenick,RatherSafe,"4207,068781936585"
83905,70fbc99b-f9b3-4381-9293-787b852bb818,Treptow-Köpenick,RatherSafe,"2390,588531707731"
84088,ce9514d1-bebf-4ef3-a3b8-30c68273558a,Neukölln,NotSafe,"3351,9942532047644"
84089,1a19a591-8b0e-4920-a2e3-2bcc6aee8e8c,Tempelhof-Schöneberg,NotSafe,"3489,3645406964474"
84121,ce9514d1-bebf-4ef3-a3b8-30c68273558a,Neukölln,NotSafe,"3515,098497750423"
84395,325c3e31-a196-4ae4-acce-2dab9216484e,Treptow-Köpenick,RatherSafe,"1829,9341659048619"
84481,ce9514d1-bebf-4ef3-a3b8-30c68273558a,Neukölln,NotSafe,"3359,6991168782865"
84853,1fd7573f-e10c-45a7-8826-d47fdb8e3a2d,Reinickendorf,RatherSafe,"5814,7858321252315"
85069,4dc7cd0a-172b-4cc3-9f21-22012df0e918,Spandau,NotSafe,"6815,893317969287"
85098,b1d9470b-f8ec-4c66-a055-71a84e320da9,Steglitz-Zehlendorf,RatherSafe,"12450,928296432196"
85255,4de14cee-d976-4680-a2ac-806f4060231d,Treptow-Köpenick,RatherSafe,"469,93295420636355"
85282,f7ae4d6f-d0fa-4214-9d87-90e52c5a1fe3,Steglitz-Zehlendorf,RatherSafe,"4177,475938417388"
85336,0846df2b-5304-4e43-a20e-72ca78058bae,Tempelhof-Schöneberg,NotSafe,"3648,228440084069"
85753,3636bd2b-2ea9-484a-b615-ee1b284e6e11,Tempelhof-Schöneberg,NotSafe,"2539,6075464672217"
85823,4de14cee-d976-4680-a2ac-806f4060231d,Treptow-Köpenick,RatherSafe,"3542,130447456302"
85824,4de14cee-d976-4680-a2ac-806f4060231d,Treptow-Köpenick,RatherSafe,"3500,7607373893284"
85826,60f4972f-65b8-46c6-9f37-9eff418eeb39,Steglitz-Zehlendorf,RatherSafe,"13170,545775458768"
85827,08469428-4e88-45a3-b41d-5715de0f9830,Reinickendorf,RatherSafe,"7120,149197587775"
85910,23609913-a045-429b-b379-30568662ea5b,Friedrichshain-Kreuzberg,RatherSafe,"1017,8564368892826"
86130,0df15380-4056-413d-b8a9-563c700e2b57,Tempelhof-Schöneberg,NotSafe,"4992,031964222166"
86161,92beacb3-314e-4b2e-8067-4be6c2e15e39,Spandau,NotSafe,"2603,5468848153637"
86162,92beacb3-314e-4b2e-8067-4be6c2e15e39,Spandau,NotSafe,"2603,5468848153637"
86163,92beacb3-314e-4b2e-8067-4be6c2e15e39,Spandau,NotSafe,"2603,5468848153637"
86165,92beacb3-314e-4b2e-8067-4be6c2e15e39,Spandau,NotSafe,"2603,5468848153637"
86247,b8275175-6e82-4ba9-9d65-f3553376d82d,Pankow,Safe,"2093,3239805430235"
86306,1e82e4b6-3c52-47fb-9edb-546b2c6910d0,Tempelhof-Schöneberg,NotSafe,"3381,920605165713"
86388,630b62b1-4d18-4331-bce9-eeb32b112306,Charlottenburg-Wilmersdorf,NotSafe,"2470,403617282528"
