"simulationTime[s]","amountOfSolvingAmbulances"
3600,1
7200,4
10801,4
14401,4
18001,3
21600,4
25200,5
28802,4
32400,1
36000,2
39601,7
43201,4
46803,2
50402,4
54000,3
57601,4
61200,5
64800,5
68400,9
72000,6
75601,6
79200,4
82802,3
