"amountOfInterventions","amountOfInterventionsPerPatrol","durationOfInterventions[min]","durationOfInterventionsPerPatrol[min]","amountOfFirings","amountOfFiringsPerPatrol","durationOfFirings[min]","durationOfFiringsPerPatrol[min]","amountOfPatrols"
172.0,4.3,3536.0,88.4,19.0,0.475,1288.0,32.2,40.0
201.0,5.025,3829.0,95.725,19.0,0.475,1111.0,27.775,40.0
