"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
357,eadb7504-7e1e-4059-aec0-b3e3bc7c58c3,Rzêdzin,Safe,"5742,523880793516"
357,3fee4c85-f6b2-4eaf-909d-1d8511c318a6,Jasna,RatherSafe,"2954,4614049208344"
493,5f5374a2-1ef8-4257-a793-d4a70a02b407,Piaskówka,Safe,"378,9504619387219"
800,030b4b78-1af2-4a77-a86b-f77e6e1322e5,Krzy¿,NotSafe,"1122,5605369568223"
1278,261c8031-5850-495e-9313-2f7f3d6e87bc,Gumniska-Zab³ocie,RatherSafe,"546,6763513113123"
1317,d80a15ba-0fd4-4483-9a20-3c53dd0887c4,Legionów Henryka D¹browskiego,NotSafe,"1087,8216772385556"
1617,aa0099a6-66f7-4979-85d4-e30c094751e0,Legionów Henryka D¹browskiego,NotSafe,"482,5577166616781"
1638,649ea0c1-6aee-46a2-b87e-c1b945560dc1,Piaskówka,Safe,"1178,4542941005338"
1842,60406f89-8ca1-4b50-8fe7-cc0f59073da2,Jasna,RatherSafe,"397,03498339817617"
2038,9bfb9108-a000-4069-b362-c310d60324c9,Jasna,RatherSafe,"412,0084244766279"
2050,9bfb9108-a000-4069-b362-c310d60324c9,Jasna,RatherSafe,"943,1098025565337"
2067,9bfb9108-a000-4069-b362-c310d60324c9,Jasna,RatherSafe,"373,2837861218355"
2266,a0c91312-c4ce-45e6-81c0-e36ecea49c18,Krakowska,RatherSafe,"603,6230606526698"
2299,89408b38-61e3-491f-a9c0-60813be0d094,Strusina,NotSafe,"974,0402550484124"
2349,05aef76b-d4dc-4149-b2d8-a320ae7acf3b,Jasna,RatherSafe,"1045,1640423624694"
2381,398aa08e-ab97-438e-af92-8670def9846b,Rzêdzin,Safe,"2370,721609716448"
2459,1c9bd3ab-20cc-47f9-89d3-33300411bcea,Gumniska-Zab³ocie,RatherSafe,"1735,6842046312368"
2470,fbc88165-7ba3-4eb4-b24f-c819671788c9,Krakowska,RatherSafe,"953,6286563607612"
2506,27942469-01b8-40e0-8b53-1934d5eec8b5,Zielone,RatherSafe,"665,183684369685"
2530,ed466480-e524-462e-aa9c-eca23f2f4996,Zielone,RatherSafe,"213,7162959094256"
2840,c67203a7-4dcb-4ac8-8855-b199c8ece157,Strusina,NotSafe,"927,7012642385945"
3098,622ece5a-8b86-46f2-a4aa-d53247b1d35c,Krzy¿,NotSafe,"281,31847693502897"
3296,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,"390,4998090983656"
3296,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,"323,3402374115861"
3297,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,"1166,039345175492"
3308,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,"611,267657765593"
3330,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,"755,1388777863718"
3336,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,"1105,2120561202748"
3343,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,"921,7364924656756"
3494,1f0e22cd-b72c-4c70-9338-ce6a1eadedcc,Chyszów,RatherSafe,"1740,3057630949686"
3533,c9333bdf-00ab-40ff-8c64-ae4cc0abddf8,Krzy¿,NotSafe,"1187,082025494499"
3534,84bf559c-4903-4f23-baf5-a0e3f204f39d,Moœcice,RatherSafe,"3360,3181626005094"
3534,66fe199f-e765-473c-b7f1-14f243da3d9b,Krakowska,RatherSafe,"1632,245363216734"
3622,54f71cdc-3995-4fd6-b0e3-13893a036874,Strusina,NotSafe,"197,9418985778821"
3750,f5410916-b819-445e-a7cc-055d2e79e1df,Jasna,RatherSafe,"828,9821695194976"
3751,abe28482-5cf9-42c3-a232-6e2fc24f3c14,Zielone,RatherSafe,"1086,7967343285186"
3762,3042c63c-0363-42ad-afea-eb4fccb91aac,Jasna,RatherSafe,"1120,1223028254515"
3914,9756ae4b-d7e6-4263-894a-c2d975ce44f4,Zielone,RatherSafe,"1169,591767467443"
4195,1ef98c78-610a-4e8a-bf3a-a4b91b319e22,Krakowska,RatherSafe,"1073,0324647394373"
4237,6894646e-bb58-45be-bb7c-5d915e257d93,Starówka,RatherSafe,"203,601146184515"
4248,71471891-04e7-4266-b299-7d6d0a4dd591,Klikowa,RatherSafe,"1043,2837842391284"
4346,ed15f986-206e-4f50-bff0-e597de5d1047,Moœcice,RatherSafe,"3470,647171117551"
4474,5fbf9fcd-0162-40c3-ab63-b7a5d49ed8a6,Chyszów,RatherSafe,"1727,3967416067837"
5009,bbedece6-edc3-4265-ae4d-62918ef16e3c,Starówka,RatherSafe,"450,77525122501066"
5160,6e4e4e9b-7cb7-4bc8-9b85-a66004773035,Legionów Henryka D¹browskiego,NotSafe,"655,3657845804528"
5235,0683c290-de40-4d05-b176-9cef66af46a6,Moœcice,RatherSafe,"1841,3145081571656"
5398,3afd8a0b-0e7c-44d9-a814-5ea51bbbd3be,Krakowska,RatherSafe,"550,8891505184947"
6371,4b55a57e-7561-49b1-b283-b65a121f655d,Jasna,RatherSafe,"771,768199497048"
6437,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,"721,2017041536343"
6438,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,"1061,544918933088"
6438,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,"386,1998025280636"
6439,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,"1151,6707344977679"
6439,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,"59,87817432715536"
6440,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,"283,15123067324095"
6440,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,"542,4121102202934"
