"simulationTime[s]","summonedPatrols"
3600,31
7200,34
10802,37
14400,39
18001,41
21600,39
25200,31
28801,34
32400,44
36001,40
39600,50
43201,35
46803,29
50402,42
54000,30
57601,41
61200,61
64801,46
68400,50
72000,43
75601,60
79200,41
82802,35
