"PATROLLING","TRANSFER_TO_INTERVENTION","INTERVENTION","TRANSFER_TO_FIRING","FIRING","RETURNING_TO_HQ","NEUTRALIZED"
"14,29,25,4,4,0,0"
"22,22,24,11,8,0,0"
"26,30,29,12,6,0,0"
"23,30,30,24,13,0,0"
"24,22,23,25,16,0,0"
"18,22,22,7,2,0,0"
