"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3600,1086.0,26.0
7200,1064.375,29.875
10800,2346.25,71.25
14403,1113.0,32.125
18000,914.0,24.7
21600,933.3333333333334,26.5
