"simulationTime[s]","firingID","districtName","districtSafetyLevel","previousPatrolState","numberOfIteration","distanceOfSummonedPatrol","isNight"
2037,9bfb9108-a000-4069-b362-c310d60324c9,Jasna,RatherSafe,PATROLLING,1,"412,0084244766279",0
2038,9bfb9108-a000-4069-b362-c310d60324c9,Jasna,RatherSafe,PATROLLING,1,"943,1098025565337",0
2066,9bfb9108-a000-4069-b362-c310d60324c9,Jasna,RatherSafe,PATROLLING,1,"373,2837861218355",0
3295,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,PATROLLING,1,"390,4998090983656",0
3296,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,PATROLLING,1,"323,3402374115861",0
3297,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,PATROLLING,1,"1166,039345175492",0
3297,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,PATROLLING,1,"611,267657765593",0
3324,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,PATROLLING,1,"755,1388777863718",0
3336,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,PATROLLING,1,"1105,2120561202748",0
3336,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,PATROLLING,1,"921,7364924656756",0
3913,9756ae4b-d7e6-4263-894a-c2d975ce44f4,Zielone,RatherSafe,PATROLLING,1,"1169,591767467443",0
6437,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,PATROLLING,1,"721,2017041536343",0
6437,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,PATROLLING,1,"1061,544918933088",0
6438,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,PATROLLING,1,"386,1998025280636",0
6438,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,PATROLLING,1,"1151,6707344977679",0
6439,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,PATROLLING,1,"59,87817432715536",0
6440,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,PATROLLING,1,"283,15123067324095",0
6440,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,PATROLLING,1,"542,4121102202934",0
7143,2b4544a1-b262-4801-a766-563307d92022,Legionów Henryka D¹browskiego,NotSafe,PATROLLING,1,"645,2740144106496",0
7144,2b4544a1-b262-4801-a766-563307d92022,Legionów Henryka D¹browskiego,NotSafe,PATROLLING,1,"431,75085872999",0
7144,2b4544a1-b262-4801-a766-563307d92022,Legionów Henryka D¹browskiego,NotSafe,PATROLLING,1,"1104,7371982673299",0
7145,2b4544a1-b262-4801-a766-563307d92022,Legionów Henryka D¹browskiego,NotSafe,PATROLLING,1,"740,0523728036688",0
7145,2b4544a1-b262-4801-a766-563307d92022,Legionów Henryka D¹browskiego,NotSafe,PATROLLING,1,"1055,9138761134782",0
7146,2b4544a1-b262-4801-a766-563307d92022,Legionów Henryka D¹browskiego,NotSafe,PATROLLING,1,"155,71243015489244",0
7147,2b4544a1-b262-4801-a766-563307d92022,Legionów Henryka D¹browskiego,NotSafe,PATROLLING,1,"917,607890646038",0
7626,e151e0c2-6b33-4921-ad1c-55f9fbba34f1,Strusina,NotSafe,PATROLLING,1,"756,8959998134646",0
7627,e151e0c2-6b33-4921-ad1c-55f9fbba34f1,Strusina,NotSafe,PATROLLING,1,"1165,134670651625",0
7628,e151e0c2-6b33-4921-ad1c-55f9fbba34f1,Strusina,NotSafe,TRANSFER_TO_INTERVENTION,4,"721,3150036435201",0
8378,9404de31-22e6-4dc1-a81c-b4ee2e8c2f9b,Strusina,NotSafe,PATROLLING,1,"1172,4575587078814",0
8378,9404de31-22e6-4dc1-a81c-b4ee2e8c2f9b,Strusina,NotSafe,PATROLLING,1,"755,1864452843735",0
8379,9404de31-22e6-4dc1-a81c-b4ee2e8c2f9b,Strusina,NotSafe,PATROLLING,1,"482,0979389250487",0
8380,9404de31-22e6-4dc1-a81c-b4ee2e8c2f9b,Strusina,NotSafe,PATROLLING,1,"748,9292242784808",0
9798,8ed62306-5691-4e49-b56f-9b2459b8d972,Westerplatte,RatherSafe,PATROLLING,1,"696,5319382769144",0
9798,8ed62306-5691-4e49-b56f-9b2459b8d972,Westerplatte,RatherSafe,TRANSFER_TO_INTERVENTION,4,"3208,7474591443947",0
9799,8ed62306-5691-4e49-b56f-9b2459b8d972,Westerplatte,RatherSafe,TRANSFER_TO_INTERVENTION,4,"2655,14974758506",0
11515,3d864e58-f9d2-42a5-85a3-f472903ae930,Jasna,RatherSafe,PATROLLING,1,"1105,3644187418506",0
12643,e2e74c2e-355a-4783-89a9-43edd6c1c14f,Legionów Henryka D¹browskiego,NotSafe,PATROLLING,1,"883,3755851073773",0
12644,e2e74c2e-355a-4783-89a9-43edd6c1c14f,Legionów Henryka D¹browskiego,NotSafe,PATROLLING,1,"1049,423859747039",0
12644,e2e74c2e-355a-4783-89a9-43edd6c1c14f,Legionów Henryka D¹browskiego,NotSafe,PATROLLING,2,"1698,418750524712",0
12645,e2e74c2e-355a-4783-89a9-43edd6c1c14f,Legionów Henryka D¹browskiego,NotSafe,PATROLLING,2,"2027,8866193831623",0
12645,e2e74c2e-355a-4783-89a9-43edd6c1c14f,Legionów Henryka D¹browskiego,NotSafe,PATROLLING,2,"1990,0699522187767",0
12646,e2e74c2e-355a-4783-89a9-43edd6c1c14f,Legionów Henryka D¹browskiego,NotSafe,PATROLLING,2,"2236,1868953604057",0
12762,81d52757-8047-4431-aead-dc9528e94d3d,Moœcice,RatherSafe,PATROLLING,1,"920,2488000827373",0
